Date,stock,oil,bond,dollar,gold
2019-06-25,2917.38,46.67,126.796875,96.175,1423.44
2019-06-26,2913.78,47.04,126.265625,96.172,1409.0
2019-06-27,2924.92,47.01,126.484375,96.217,1409.78
2019-06-28,2941.76,47.14,126.546875,96.13,1409.55
2019-07-01,2964.33,47.63,126.375,96.806,1384.19
2019-07-02,2973.01,45.65,126.78125,96.743,1418.65
2019-07-03,2995.82,46.59,126.875,96.758,1418.78
2019-07-04,,46.14,,96.72,1416.08
2019-07-05,2990.41,47.06,126.203125,97.174,1399.45
2019-07-08,2975.95,46.66,126.015625,97.363,1395.53
2019-07-09,2979.63,47.13,125.875,97.499,1397.61
2019-07-10,2993.07,48.73,126.0625,97.08,1419.02
2019-07-11,2999.91,48.79,125.484375,97.057,1403.81
2019-07-12,3013.77,48.93,125.640625,96.722,1415.75
2019-07-15,3014.3,48.34,125.84375,96.923,1414.13
2019-07-16,3004.04,47.03,125.703125,97.374,1406.23
2019-07-17,2984.42,46.45,126.109375,97.184,1426.57
2019-07-18,2995.11,45.71,126.4375,96.683,1446.1
2019-07-19,2976.61,45.75,126.078125,97.074,1425.37
2019-07-22,2985.03,46.23,126.171875,97.294,1424.88
2019-07-23,3005.47,46.89,125.96875,97.695,1417.83
2019-07-24,3019.56,46.1,126.1875,97.679,1425.86
2019-07-25,3003.67,46.07,125.890625,97.785,1414.58
2019-07-26,3025.86,46.29,125.96875,97.905,1418.9
2019-07-29,3020.97,46.61,126.015625,98.057,1426.8
2019-07-30,3013.18,47.46,126.015625,98.065,1430.88
2019-07-31,2980.38,47.6,126.171875,98.568,1413.78
2019-08-01,2953.56,45.25,127.3125,98.394,1445.18
2019-08-02,2932.05,45.34,127.5625,98.096,1440.83
2019-08-05,2844.74,44.51,128.59375,97.385,1463.7
2019-08-06,2881.77,43.46,128.640625,97.582,1474.42
2019-08-07,2883.98,42.58,128.359375,97.621,1501.16
2019-08-08,2938.09,42.81,128.484375,97.575,1500.95
2019-08-09,2918.65,43.3,128.171875,97.034,1496.95
2019-08-12,2883.75,43.27,128.921875,97.39,1511.16
2019-08-13,2926.32,45.15,128.296875,97.826,1501.51
2019-08-14,2840.6,43.73,129.09375,97.953,1516.36
2019-08-15,2847.6,43.29,129.53125,98.153,1523.29
2019-08-16,2888.68,43.47,129.421875,98.203,1513.52
2019-08-19,2923.65,44.28,128.96875,98.358,1495.92
2019-08-20,2900.51,44.51,129.359375,98.154,1507.2
2019-08-21,2924.43,44.76,129.0625,98.256,1502.65
2019-08-22,2922.95,44.51,128.875,98.207,1498.06
2019-08-23,2847.11,43.69,129.5,97.263,1526.96
2019-08-26,2878.38,43.64,129.5,98.04,1527.31
2019-08-27,2869.16,44.51,129.875,98.007,1542.81
2019-08-28,2887.94,44.79,129.875,98.198,1539.01
2019-08-29,2924.58,45.22,129.6875,98.45,1527.63
2019-08-30,2926.46,44.79,129.6875,98.807,1520.38
2019-09-02,,44.35,,99.04,1529.29
2019-09-03,2906.27,44.1,130.125,98.956,1547.1
2019-09-04,2937.78,45.73,130.140625,98.397,1552.55
2019-09-05,2976.0,46.01,129.25,98.374,1519.05
2019-09-06,2978.71,46.75,129.203125,98.012,1506.82
2019-09-09,2978.43,47.46,128.609375,98.299,1499.13
2019-09-10,2979.39,47.46,127.84375,98.325,1485.78
2019-09-11,3000.93,46.18,127.828125,98.628,1497.2
2019-09-12,3009.57,45.78,127.5625,98.36,1499.26
2019-09-13,3007.39,45.59,126.546875,97.858,1488.53
2019-09-16,2997.96,51.47,126.984375,98.642,1498.43
2019-09-17,3005.7,48.55,127.3125,98.211,1501.38
2019-09-18,3006.73,48.09,127.25,98.552,1494.0
2019-09-19,3006.79,49.04,127.4375,98.357,1499.03
2019-09-20,2992.07,49.02,127.875,98.462,1516.9
2019-09-23,2991.78,48.72,127.875,98.614,1522.24
2019-09-24,2966.6,47.19,128.546875,98.325,1531.87
